STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/1/2009,0,0,25,-5.6,-15
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/2/2009,0,0,25,-1.7,-9.4
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/3/2009,0,0,25,-0.6,-12.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/4/2009,0.5,0,25,-1.1,-8.3
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/5/2009,0,0,0,1.1,-7.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/6/2009,0,0,0,-2.2,-13.9
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/7/2009,0,0,0,-2.2,-13.3
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/8/2009,4.3,51,51,-2.2,-5
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/9/2009,0.5,13,76,-0.6,-9.4
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/10/2009,5.1,76,127,-5.6,-10
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/11/2009,10.2,140,254,-5,-10
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/12/2009,0,0,254,-4.4,-13.9
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/13/2009,2.5,25,203,-1.1,-15
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/14/2009,0,0,0,-1.1,-25
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/15/2009,1.8,13,203,-11.7,-23.9
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/16/2009,0,0,203,-12.2,-26.7
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/17/2009,0,0,203,-12.2,-26.7
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/18/2009,5.6,157,305,-6.7,-16.7
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/19/2009,0,0,254,-6.7,-15
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/20/2009,0,0,229,-7.2,-19.4
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/21/2009,0,0,229,-8.3,-23.3
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/22/2009,0,0,229,-2.8,-12.8
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/23/2009,0,0,203,-1.7,-13.3
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/24/2009,0,0,203,2.8,-11.1
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/25/2009,0,0,203,-8.3,-20.6
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/26/2009,0,0,178,-8.3,-21.1
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/27/2009,1,20,203,-6.1,-22.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/28/2009,2.3,20,229,-6.1,-16.7
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/29/2009,2.8,25,254,-5.6,-12.8
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/30/2009,2.5,25,254,-3.3,-12.8
USC00208972,"WHITMORE LAKE 1 NW, MI US",1/31/2009,0.8,13,279,-6.1,-14.4
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/1/2009,0,0,254,2.2,-12.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/2/2009,0,0,229,6.7,-7.8
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/3/2009,0,0,229,1.1,-16.1
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/4/2009,0,0,229,-3.3,-17.8
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/5/2009,0,0,229,-11.7,-26.1
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/6/2009,0,0,229,-7.2,-23.3
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/7/2009,0,0,178,6.1,-12.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/8/2009,0,0,51,11.1,0
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/9/2009,0,0,0,5,-8.3
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/10/2009,3.8,0,0,3.9,-8.3
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/11/2009,0,0,0,13.9,3.3
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/12/2009,19.1,0,0,11.7,1.7
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/13/2009,0,0,0,2.8,-1.7
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/14/2009,55.9,,51,2.2,-4.4
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/15/2009,0.5,13,76,-1.1,-8.9
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/16/2009,0,0,25,0,-9.4
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/17/2009,0,0,0,-0.6,-10
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/18/2009,0,0,0,3.3,-6.1
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/19/2009,6.6,0,0,3.3,-8.9
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/20/2009,0,0,0,-6.1,-10.6
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/21/2009,0,0,0,-2.2,-11.7
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/22/2009,4.1,38,76,0,-11.1
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/23/2009,0,0,51,-2.2,-12.8
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/24/2009,0,0,25,-3.3,-17.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/25/2009,0,0,25,-1.1,-17.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/26/2009,0,0,25,6.1,-5.6
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/27/2009,12.7,0,0,10,-3.9
USC00208972,"WHITMORE LAKE 1 NW, MI US",2/28/2009,0,0,0,8.3,-10
USC00208972,"WHITMORE LAKE 1 NW, MI US",3/1/2009,0,0,0,-2.8,-11.1
USC00208972,"WHITMORE LAKE 1 NW, MI US",3/2/2009,0,0,0,-5.6,-15
USC00208972,"WHITMORE LAKE 1 NW, MI US",3/3/2009,0,0,0,-7.2,-17.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",3/4/2009,0,0,0,-2.2,-17.2
USC00208972,"WHITMORE LAKE 1 NW, MI US",3/5/2009,0,0,0,3.9,-12.8
USC00208972,"WHITMORE LAKE 1 NW, MI US",3/6/2009,0,0,0,13.9,-2.8
